"CPUName","CPUPrice","CPUScore"
"AMD Ryzen Threadripper PRO 7995WX",9999,153038
"AMD Ryzen Threadripper PRO 7985WX",7349,135433
"AMD Ryzen Threadripper 7980X",4702.49,134223
"AMD EPYC 9684X",7987,120760
"AMD EPYC 9654",4675,117317
"AMD EPYC 9R14",NA,116475
"AMD EPYC 9654P",5450,113949
"AMD EPYC 9554",2844.45,111794
"AMD EPYC 9554P",4450,110790
"AMD EPYC 9634",3950,107944
"AMD EPYC 9474F",3950,105213
"AMD EPYC 9754",7450,100460
"Intel Xeon w9-3595X",5889,99375
"AMD Ryzen Threadripper 7970X",2269.99,98111
"AMD EPYC 9454P",3450,95918
"AMD Ryzen Threadripper PRO 7975WX",3899,95664
"AMD EPYC 9454",3774.52,95582
"AMD EPYC 9534",3498.95,93884
"AMD Ryzen Threadripper PRO 5995WX",3999.99,93192
"Intel Xeon w9-3495X",5889,92595
"AMD EPYC 7773X",3950,91491
"Intel Xeon Platinum 8470 @2.00GHz",9359,89850
"Intel Xeon Max 9480",920.4,87420
"AMD EPYC 7J13",NA,84786
"AMD EPYC 7763",1489.95,84193
"Intel Xeon Platinum 8592+",11600,84013
"AMD Ryzen Threadripper PRO 3995WX",3499.99,83697
"AMD Ryzen Threadripper 7960X",1379.54,83062
"AMD EPYC 7V13",NA,82878
"AMD EPYC 7713",1575.9,82825
"Intel Xeon w9-3575X",3789,82207
"AMD EPYC 7R13 64-Core",NA,82158
"AMD EPYC 7663",NA,82087
"AMD EPYC 7T83",NA,81757
"AMD EPYC 7713P",1817,81201
"AMD Ryzen Threadripper 3990X",2725.95,80659
"AMD Ryzen Threadripper PRO 7965WX",2549,80435
"AMD EPYC 9374F",3495,79826
"AMD EPYC 7B13",NA,77460
"Intel Xeon w7-3565X",2689,76649
"AMD EPYC 9354P",2490,76605
"Intel Xeon 6740E",5265,76167
"AMD EPYC 7643",4495,76050
"AMD Ryzen Threadripper PRO 5975WX",3381.34,75654
"Intel Xeon Platinum 8461V",4491,74982
"AMD EPYC 9274F",2550,73582
"AMD EPYC 7662",3999.99,72298
"AMD EPYC 8534P",NA,71900
"AMD EPYC 7C13",NA,70474
"AMD EPYC 7702",1375,70107
"AMD EPYC 7742",1678.95,69663
"AMD EPYC 7H12",1695.95,69633
"AMD EPYC 7573X",5250,69432
"AMD EPYC 75F3",4039.75,68505
"Intel Xeon Platinum 8571N",NA,68385
"AMD EPYC 9254",2440.45,67847
"AMD EPYC 9354",2895,67842
"AMD EPYC 7543P",1511.5,66687
"AMD Ryzen Threadripper PRO 5965WX",2229,66686
"AMD EPYC 8434P",NA,66490
"AMD Ryzen 9 9950X",669.42,66340
"AMD EPYC 7B12",NA,66044
"Intel Core Ultra 9 285K",629.99,65873
"Intel Xeon w7-3465X",2889,65618
"Intel Xeon Gold 6530",2128,65533
"Intel Xeon w9-3475X",4062.07,65034
"AMD EPYC 9334",2350,64841
"AMD EPYC 7R32",NA,64727
"AMD EPYC 7702P",1559.12,63300
"AMD Ryzen Threadripper 3970X",1239.99,63122
"AMD Ryzen 9 7950X",498,62714
"AMD Ryzen Threadripper PRO 3975WX",1900,62572
"AMD Ryzen 9 7950X3D",625,62498
"Intel Core i9-14900KS",629.99,62449
"Intel Xeon Platinum 8454H",6540,62347
"Intel Xeon Platinum 8380 @ 2.30GHz",7301,62318
"AMD EPYC 4564P",NA,62061
"Intel Core i9-13900KS",502,61588
"Intel Xeon w7-2575X",1689,61402
"AMD EPYC 7552",1749.96,61282
"AMD EPYC 7543",3761,60901
"AMD EPYC 74F3",2989.95,60666
"Intel Xeon Gold 6448Y",3583,60449
"Intel Xeon Gold 5512U",1230,60365
"Intel Core i9-14900K",440,60225
"AMD EPYC 4584PX",NA,60136
"AMD Ryzen Threadripper PRO 7955WX",NA,59861
