"GPUName","GPUPrice","GPUScore"
"GeForce RTX 4090",1799.99,38591
"GeForce RTX 4090 D",NA,37631
"GeForce RTX 4080",1174.8,34623
"RTX 5880 Ada Generation",NA,34568
"GeForce RTX 4080 SUPER",999.99,34210
"GeForce RTX 4070 Ti",739.99,31819
"GeForce RTX 4070 Ti SUPER",799,31654
"Radeon RX 7900 XTX",869.99,31030
"GeForce RTX 4070 SUPER",599.99,30199
"RTX 4500 Ada Generation",NA,29816
"GeForce RTX 3090 Ti",2199.99,29692
"Radeon PRO W7900",NA,29470
"Radeon RX 7900 XT",660.61,28834
"Radeon PRO W7800",NA,28601
"Radeon RX 6950 XT",999.99,28158
"RTX 5000 Ada Generation",NA,27999
"RTX 6000 Ada Generation",NA,27821
"GeForce RTX 4090 Laptop GPU",NA,27698
"GeForce RTX 3080 Ti",1052.93,27124
"GeForce RTX 4070",529.99,26981
"Radeon RX 6900 XT",1509.67,26791
"GeForce RTX 3090",1783.35,26734
"GeForce RTX 3080 12GB",NA,26678
"Radeon RX 7900 GRE",539.99,26654
"GeForce RTX 3080",749,25229
"GeForce RTX 4080 Laptop GPU",NA,25134
"Radeon RX 6800 XT",882.96,25027
"RTX 4000 Ada Generation",NA,25014
"Radeon RX 7800 XT",479.99,24210
"RTX 5000 Ada Generation Laptop GPU",NA,23992
"GeForce RTX 3070 Ti",752.96,23583
"RTX 4000 Ada Generation Laptop GPU",NA,23015
"GeForce RTX 4060 Ti",379.99,22899
"RTX A5000",2229.99,22875
"GeForce RTX 4060 Ti 16GB",439.99,22864
"RTX A6000",4109.99,22634
"GeForce RTX 3070",489.99,22372
"Radeon RX 7900M",NA,22365
"Radeon RX 7700 XT",394.52,22343
"RTX A5500",2169.99,22282
"Radeon RX 6800",360.61,22216
"NVIDIA A10",NA,22064
"GRID RTX6000-6Q",NA,21986
"GeForce RTX 2080 Ti",1299.99,21744
"RTX A4500",1569.99,21700
"Radeon 610M Ryzen 9 7845HX",NA,21622
"RTX 4000 SFF Ada Generation",NA,20922
"Radeon RX 6750 XT",329.99,20793
"GeForce RTX 3060 Ti",549.99,20496
"TITAN RTX",2499,19945
"GeForce RTX 4060",292.99,19899
"Radeon RX 6700 XT",763.55,19871
"Quadro GV100",8999,19824
"Radeon PRO W6800",1849.99,19791
"TITAN V",1999.99,19742
"GeForce RTX 3080 Ti Laptop GPU",NA,19737
"L40-8Q",NA,19704
"GeForce RTX 2080 SUPER",684.86,19576
"GeForce RTX 4070 Laptop GPU",NA,19528
"RTX A4000",749.99,19436
"Radeon RX 6700",NA,19333
"Radeon RX 6750 GRE 12GB",NA,19296
"Quadro RTX 8000",4290,19278
"Radeon PRO W7700",NA,19227
"TITAN Xp COLLECTORS EDITION",NA,19105
"RTX 3500 Ada Generation Laptop GPU",NA,18906
"GeForce RTX 2080",800.61,18793
"NVIDIA A10G",NA,18773
"NVIDIA TITAN Xp",1645,18737
"Quadro RTX 6000",6300,18733
"Radeon RX 6750 GRE 10GB",NA,18613
"GeForce GTX 1080 Ti",483.82,18567
"GeForce RTX 2070 SUPER",539.99,18228
"GeForce RTX 3070 Ti Laptop GPU",NA,17977
"A40-48Q",NA,17864
"RTX 2000 Ada Generation",NA,17707
"GeForce RTX 4060 Laptop GPU",NA,17654
"Radeon Pro W5700X",NA,17590
"Radeon RX 6850M XT",NA,17473
"RTX A4500 Laptop GPU",NA,17451
"RTX A5500 Laptop GPU",NA,17353
"Radeon RX 6650 XT",209.99,17222
"Radeon RX 7600 XT",309.99,17210
"Radeon RX 6650M XT",NA,17070
"GeForce RTX 3060 12GB",249.99,16998
"TITAN V CEO Edition",NA,16987
"Radeon VII",1899.95,16659
"Radeon RX 5700 XT",449.97,16573
"Radeon RX 5700 XT 50th Anniversary",NA,16572
"GeForce RTX 2060 SUPER",409.99,16532
"Radeon RX 6600 XT",499,16509
"Radeon RX 7600",249.99,16494
"GeForce RTX 3080 Laptop GPU",NA,16446
"Quadro GP100",NA,16374
"RTX 3000 Ada Generation Laptop GPU",NA,16345
"Tesla V100-SXM2-16GB",NA,16235
"GeForce RTX 2070",389.46,16151
"RTX A5000 Laptop GPU",NA,16066
"Quadro RTX 5000",NA,15941
"Miracast display port driver V3",NA,15909
"GeForce RTX 2060 12GB",NA,15907
"Radeon Pro Vega II",NA,15596
"Radeon PRO W6600",NA,15596
"GeForce GTX 1080",442.79,15535
"GeForce RTX 3070 Laptop GPU",NA,15468
"Radeon RX 6800S",NA,15407
"GeForce RTX 3060 8GB",NA,15398
"Quadro RTX 4000",899,15365
"RTX A4000 Laptop GPU",NA,15354
"Quadro P6000",3250,15307
"RTX 2000 Ada Generation Laptop GPU",NA,15256
"Radeon RX 6600",199.99,15151
"GeForce RTX 2080 (Mobile)",NA,15107
"Radeon RX 7700S",NA,15107
"Radeon RX 6650M",NA,15074
"Radeon Pro W5700",649.99,15038
"Radeon RX 6700S",299.99,14950
"Quadro RTX 5000 (Mobile)",NA,14832
"GeForce GTX 1070 Ti",569.99,14695
"NVIDIA A40",NA,14664
"Radeon RX 7600S",NA,14561
"Radeon RX 5700",309.99,14451
"GeForce RTX 4050 Laptop GPU",NA,14442
"L40S",NA,14397
"RTX A3000 12GB Laptop GPU",NA,14349
"Radeon PRO W7500",NA,14312
"Radeon RX Vega 64",749.99,14305
"Radeon PRO W7600",NA,14226
"RTX 1000 Ada Generation Laptop GPU",NA,14184
"GeForce RTX 2060",385.19,14147
"Radeon Pro Vega II Duo",NA,14018
"RadeonT RX 6850M XT",NA,13847
"GeForce RTX 2080 Super with Max-Q Design",NA,13842
"GeForce GTX 980 Ti",644.61,13807
"Radeon RX 6600M",199.99,13768
"GeForce RTX 2070 Super with Max-Q Design",NA,13735
"RTX A2000",434.33,13728
"Radeon Pro Vega 64X",NA,13708
"RTX A2000 12GB",NA,13704
"Radeon RX 6600S",NA,13678
"NVIDIA TITAN X",608.1,13659
"Radeon RX 5600 XT",545,13633
"Radeon RX 6700M",269.99,13564
"Radeon Pro WX 8200",1599.39,13526
"GeForce GTX 1070",529.99,13499
"Quadro RTX 5000 with Max-Q Design",NA,13490
"GeForce RTX 3060 Laptop GPU",309.99,13356
"Radeon RX 6800M",NA,13263
"Radeon RX Vega 56",752.99,13229
"Radeon Vega Frontier Edition",1679.99,13225
"Radeon RX 7600M XT",NA,13118
"Radeon PRO W6600X",NA,13113
"GeForce RTX 2080 with Max-Q Design",2099.99,13087
"Intel Arc A770",299.99,12981
"GeForce GTX TITAN X",1096.99,12940
"Radeon Pro Vega 64",NA,12920
"GeForce GTX 1660 Ti",289.99,12916
"Radeon Pro VII",NA,12838
"GeForce RTX 3050 8GB",206.99,12812
"GeForce GTX 1660 SUPER",227.99,12752
"Tesla T10",NA,12650
"Radeon Pro 5700 XT",NA,12613
"Quadro P5000",1868.99,12551
"Quadro P5200 with Max-Q Design",NA,12530
"RTX A3000 Laptop GPU",NA,12492
"Radeon Pro WX 9100",NA,12470
"Quadro RTX 4000 with Max-Q Design",NA,12365
"GeForce RTX 2070 (Mobile)",NA,12354
"Radeon Pro Vega 56",NA,12353
"Tesla V100-PCIE-16GB",NA,12328
"Quadro RTX 4000 (Mobile)",NA,12327
"Radeon RX 6850M",NA,12274
"Radeon Pro V520 MxGPU",NA,12257
"Quadro P5200",NA,12238
"Tesla P40",NA,12190
"Radeon RX 5600 OEM",NA,12137
"GeForce RTX 3050 OEM",217.82,11970
"Intel Arc A750",199.99,11945
"Quadro M6000 24GB",NA,11882
"Radeon Pro 5700",NA,11844
"Quadro M6000",4827.53,11749
"GeForce GTX 1660",261.38,11678
"GeForce RTX 2070 with Max-Q Design",NA,11668
"Intel Arc A580",179.99,11648
"Quadro P4000",556.19,11624
"Intel Arc A770M",NA,11558
"GeForce GTX 1080 with Max-Q Design",NA,11520
"L4",NA,11518
"Radeon RX 5600",NA,11489
"Quadro P4200 with Max-Q Design",NA,11446
"RTX A1000 Embedded GPU",NA,11368
"GeForce RTX 2060 (Mobile)",NA,11354
"RTX 500 Ada Generation Laptop GPU",NA,11302
"Radeon Pro Vega 48",NA,11299
"RTX A1000",NA,11242
"Quadro RTX 3000",NA,11127
"GeForce GTX 980",247.35,11101
"GRID P40-12Q",NA,11028
"Radeon Pro SSG",2410.15,10971
"RTX A2000 8GB Laptop GPU",NA,10940
"RTX A4500 Embedded GPU",NA,10916
"Tesla T4",4420.46,10744
"GeForce RTX 3050 6GB",164.99,10651
"Intel Arc A730M",NA,10487
"GeForce GTX 1070 (Mobile)",NA,10465
"Tesla M40",600,10465
"Quadro P4200",NA,10439
"Tesla M40 24GB",NA,10417
"SuperDisplay Virtual Adapter",NA,10390
"GeForce RTX 3050 6GB Laptop GPU",NA,10337
"GeForce GTX 1660 Ti (Mobile)",NA,10192
"GeForce GTX 1650 SUPER",222.06,10161
"GeForce RTX 3050 Ti Laptop GPU",NA,10141
"RTX A1000 6GB Laptop GPU",NA,10124
"GeForce GTX 1060",339.99,10073
"RTX A2000 Laptop GPU",NA,9934
"GeForce GTX 1070 with Max-Q Design",NA,9932
"GRID P40-2B",NA,9842
"GeForce GTX 1060 3GB",235.47,9763
"GeForce RTX 2060 with Max-Q Design",NA,9762
"Radeon R9 Fury + Fury X",449.99,9741
"GeForce GTX 970",237.99,9637
"Radeon RX 6550M",NA,9603
"Radeon R9 Fury",443.1,9593
"Radeon R9 Fury X",NA,9580
"Radeon RX 6500 XT",169,9567
"RTX A1000 Laptop GPU",NA,9533
"GeForce GTX 780 Ti",339.99,9526
"Radeon PRO W6600M",NA,9521
"GeForce RTX 3050 Laptop GPU",269.99,9461
"Ryzen 9 4900HSS with Radeon Graphics",NA,9460
"Quadro M5000",499,9417
"Radeon R9 390X",NA,9416
"Radeon RX 590",549.99,9389
"Quadro P3200 with Max-Q Design",NA,9368
"Quadro P2200",459.8,9324
"Intel Arc Pro A60",NA,9300
"Radeon Pro 5600M",NA,9232
"Radeon RX 5500 XT",181.29,9137
"Radeon Pro W5500",409.99,9118
"GRID P40-2B4",NA,9110
"GeForce GTX 1060 5GB",487.99,9094
"Quadro P4000 with Max-Q Design",NA,9082
"GeForce GTX TITAN Black",1335.93,8971
"GeForce GTX TITAN Z",1515,8941
"Radeon R9 390",NA,8909
"Tesla P4",NA,8880
"Radeon RX 580",179.99,8855
"Radeon RX 5600M",NA,8795
"Radeon RX 5500",NA,8792
"Quadro P3200",389.3,8775
"GRID P40-24Q",NA,8719
"Radeon RX 480",339.99,8623
"Radeon R9 290X",NA,8622
"Radeon R9 295X2",499.1,8617
