"ramName","ramPrice","ramScore"
"Acer BL.9BWWR.437 32GB",NA,43277
"Essencore Limited KD5AGU880-60A300G 16GB",NA,41678
"Corsair CMK5S16G3B60E36A2 16GB",NA,41502
"Corsair CMK96GX5M4B5600C40 24GB",NA,41234
"Kingston 9905782-105.A00G 32GB",NA,41214
"OLOy Technology D5U3264321I 32GB",NA,40986
"Corsair CMK96GX5M2B6000Z30 48GB",NA,40392
"A-DATA Technology AX5U5200C3816G-CLARWH 16GB",NA,40047
"AMD R5S532G5600U2S 32GB",NA,39856
"A-DATA Technology AX5U6000C4016G-DCLAWH 16GB",NA,39837
"A-DATA Technology AX5U6000C3032G-DTLABRWH 32GB",NA,39493
"A-DATA Technology AX5U6400C3216G-DCCAR 16GB",NA,39401
"A-DATA Technology AX5U6400C3232G-BLABK 32GB",NA,39328
"Corsair CMT64GX5M4B5600Z36 16GB",NA,39197
"Corsair CMP64GX5M2X6000Z30 32GB",NA,39129
"A-DATA Technology AX5U6000C3024G-BLABRBK 24GB",NA,39071
"Kingston 9965794-036.A00G 48GB",NA,39058
"A-DATA Technology AX5U6000C3032G-DCLARWH 32GB",426.95,38872
"G Skill Intl F5-6000J2836G16G 16GB",239,38753
"Corsair CMK5X16G2B60C36A2 16GB",NA,38702
"Essencore Limited KD5KGUD80-84D400G 24GB",NA,38598
"Wilk Elektronik S.A. IR-6400D564L32/32G 32GB",NA,38589
"Apacer Technology GD2.47312H.003 16GB",NA,38552
"A-DATA Technology AX5U6400C3216G-SLABWH 16GB",NA,38548
"PNY Technologies, Inc. 16GP1X1660JJJ77-13-K 16GB",NA,38476
"A-DATA Technology AX5U6000C4016G-CLAWH 16GB",NA,38470
"Kingston 9905789-059.A00G 32GB",NA,38451
"A-DATA Technology AD5U560016G8-BHYA 16GB",NA,38221
"A-DATA Technology AX5U6000C3616G-DCLARBK 16GB",NA,38187
"Kingston 9905789-096.A00G 48GB",NA,38170
"Essencore Limited KD5AGUA80-76B360J 16GB",NA,38076
"Crucial Technology CT16G56C46S5.C8G 16GB",NA,38073
"Corsair CMT32GX5M2B5200Z40 16GB",222.95,38005
"Gloway International Co. Ltd. VGM5UH60C30AG-DTACWN 16GB",NA,37978
"A-DATA Technology AX5U6000C4016G-CLABK 16GB",NA,37886
"Patriot Memory (PDP Systems) PSD58G560041 8GB",NA,37856
"Micron Technology MTC16C2085S1SC56BG1 32GB",NA,37855
"Golden Empire CL34-42-42 D5-6800 16GB",NA,37764
"A-DATA Technology AX5U6000C3016G-B 16GB",NA,37740
"A-DATA Technology AX5U6000C3032G-BLABBK 32GB",NA,37736
"Corsair CMT64GX5M2B6000Z40 32GB",NA,37727
"A-DATA Technology AX5U5200C3816G-CLABK 16GB",NA,37719
"A-DATA Technology AX5U5200C3816G-DCLABK 16GB",311.95,37682
"A-DATA Technology AX5U5600C4616G-BLABWH 16GB",NA,37622
"Essencore Limited KD5AGUA80-64A320G 16GB",NA,37572
"Gold Key Technology Co Ltd NMUD516F82-6000L 16GB",NA,37572
"Corsair CMH5X32G2B56C40A2 32GB",NA,37562
"A-DATA Technology AX5U6000C3016G-DCCAGY 16GB",NA,37549
"Corsair CMH96GX5M2B6000C30 48GB",NA,37525
"Wilk Elektronik S.A. IRG-64D5L32/32G 32GB",NA,37498
"G Skill Intl F5-6000J3036G32G 32GB",NA,37424
"Essencore Limited KD5AGUA80-60A320S 16GB",NA,37405
"SK Hynix M425R4GA3BB0-CQKOD 32GB",NA,37353
"Mushkin MRX5U640A77P32G 32GB",NA,37344
"Corsair CMT32GX5M2D6000Z36 16GB",NA,37333
"Corsair CMT32GX5M2X7600C36 16GB",NA,37298
"A-DATA Technology AX5U5200C3816G-BLARWH 16GB",NA,37267
"Lenovo QX71M77541 16GB",NA,37142
"A-DATA Technology AX5U5600C3616G-CLARBK 16GB",NA,37123
"Essencore Limited KD5AGUA80-60A300H 16GB",NA,37065
"A-DATA Technology AX5U6000C3032G-BLABWH 32GB",NA,37063
"Asgard VAM5UH60C30AG-CGURBM 16GB",NA,36994
"Essencore Limited KD5AGUA80-60A300J 16GB",199,36968
"Essencore Limited KD5AGU880-60A300H 16GB",NA,36945
"A-DATA Technology AX5U6000C3016G-CLARBK 16GB",NA,36854
"Kingston 9905782-029.A00G 32GB",NA,36810
"Crucial Technology CT8G52C42U5.M4GB 8GB",26.99,36800
"Corsair CMH64GX5M2B6000Z30 32GB",379,36773
"A-DATA Technology AX5U6000C3032G-BLARWH 32GB",NA,36740
"Kingston 9905789-103.A00G 32GB",NA,36728
"A-DATA Technology AX5U6000C3024G-BLABRWH 24GB",NA,36681
"A-DATA Technology AX5U6000C3032G-CLARBK 32GB",NA,36593
"Crucial Technology CT32G52C42U5.C16B2 32GB",NA,36453
"G Skill Intl F5-6000J3038F16G 16GB",189,36407
"A-DATA Technology AX5U5200C3816G-CLAWH 16GB",NA,36396
"Corsair CMH32GX5M2B5200Z40 16GB",169,36394
"Acer BL.9BWWR.378 16GB",169,36388
"Apacer Technology GD2.44312S.003 16GB",NA,36384
"A-DATA Technology AX5U6600C3216G-DCLARROG 16GB",299,36329
"Corsair CMH5X16G1B60C36A2 16GB",NA,36322
"Wilk Elektronik S.A. IR-6000D564L30/32G 32GB",NA,36292
"Asgard VMA5BAU8-AMBDR2T3 8GB",NA,36278
"Corsair CMP64GX5M2B6000Z30 32GB",NA,36252
"Kingston CBD56S46BD8HA-32 32GB",NA,36244
"Shenzhen Fanxiang Information Technology UD5116G64D 16GB",NA,36213
"Acer BL.9BWWR.433 16GB",NA,36179
"Essencore Limited ED5AGUA8A-56G460E 16GB",NA,36173
"A-DATA Technology AX5U5200C388G-SHTBK 8GB",NA,36106
"Patriot Memory (PDP Systems) 6000 Series 32GB",NA,36095
"Kingston 9905783-500.A00G 16GB",NA,36074
"Corsair CMK5X8G1A52Z40B2 8GB",NA,36066
"Kingston 9905790-094.A00G 16GB",NA,36057
"Kingston CBD56S46BS8HA-16 16GB",NA,36021
"KingSpec KS6000D5M13516G 16GB",NA,36006
"Essencore Limited KD5AGUA80-56G460D 16GB",NA,35971
"A-DATA Technology AD5U560016G-B 16GB",NA,35898
"Lexar Co Limited LD5BU016G-6000GA 16GB",NA,35897
"Corsair CMT32GX5M2B6000Z30 16GB",292.95,35788
"A-DATA Technology AX5U6000C3016G-DTLABBK 16GB",NA,35717
"Gloway International Co. Ltd. VGM5UX52C40AG-DTACW 16GB",NA,35696
"Kingston KF564C32-32 32GB",NA,35692
"Corsair CMH64GX5M2B6000Z40 32GB",NA,35649
"Lexar Co Limited LD5U16G60C32LG 16GB",NA,35640
"A-DATA Technology AX5U6000C3016G-DCCARGY 16GB",NA,35621
"Crucial Technology CT16G56C46S5.M8B2 16GB",58.99,35592
"Corsair CMK32GX5M2B5200Z40 16GB",163.95,35583
"Mushkin MLX5C640A77P32G 32GB",NA,35504
"A-DATA Technology AX5U6000C3016G-SLABRWH 16GB",NA,35494
"JUHOR JHE6400U3216JGRGB 16GB",NA,35483
"PNY Technologies Inc 16GP1X1660JJJ77-13-K3-RGB 16GB",NA,35453
"Corsair CMK5X16G1B52Z40A2 16GB",NA,35444
"Trium Elektronik Bilgi Islem San Ve Dis THL-PCVTX480D5-16G 16GB",NA,35438
"Corsair CMK64GX5M2B5200Z40 32GB",319.95,35359
"Corsair CMH5X16G1E60C36A2 16GB",NA,35345
"Corsair CMK64GX5M2A4400C36 32GB",NA,35340
"Corsair CMK64GX5M4B5600Z36 16GB",NA,35314
"A-DATA Technology AX5U6000C3016G-BLARBK 16GB",NA,35235
"Corsair CMH64GX5M2B5600Z36 32GB",NA,35208
"Kingston KF580C38-16 16GB",NA,35153
"G Skill Intl F5-6000J3648D16G 16GB",NA,35138
"Corsair CMK32GX5M2D6000Z36 16GB",NA,35133
"Corsair CMP32GX5M2B6000Z30 16GB",NA,35093
"Corsair CMK64GX5M2B6000Z30 32GB",NA,35062
"Corsair CMT64GX5M2B5200Z40 32GB",411.95,35025
"Lexar Co Limited LD5BU016G-6000LA 16GB",NA,35005
"Gold Key Technology Co Ltd NMGD516F82-7200F 16GB",NA,34971
"Lexar Co Limited LD5FU016G-6000GA 16GB",NA,34971
"A-DATA Technology AX5U6400C3216G-BLABWH 16GB",NA,34952
"G Skill Intl F5-6000J3040G32G 32GB",348,34950
"Apacer Technology GD2.42312H.004 16GB",NA,34892
"G Skill Intl F5-6000J3036F16G 16GB",NA,34887
"A-DATA Technology AX5U6400C3216G-BLABK 16GB",NA,34851
"Corsair CMH32GX5M2B6000Z30 16GB",199,34848
"Gloway International Co. Ltd. VGM5UH68C38AG-DABYSN 16GB",NA,34831
"Corsair CMH32GX5M2D6000Z36 16GB",216.95,34804
"Kingston KF560C32-48 48GB",NA,34784
"Corsair CMK32GX5M2B6000Z30 16GB",179,34722
"G Skill Intl F5-5600J4645A32G 32GB",NA,34679
"Corsair CMK32GX5M2B5600Z36 16GB",169,34660
"G Skill Intl F5-5600J4040D24G 24GB",NA,34659
"Corsair CMT64GX5M2B6000Z30 32GB",NA,34520
"Lexar Co Limited LD5EU016G-6400WA 16GB",NA,34503
"A-DATA Technology AX5U6000C3016G-BLARWH 16GB",NA,34491
"Kingston KF552C36-32 32GB",NA,34489
"Corsair CMH32GX5M2N6000Z30 16GB",NA,34468
"Crucial Technology CT24G56C46S5.C8B 24GB",60.99,34362
"Micron Technology MTC4C10163S1SC56BG1 8GB",NA,34350
"A-DATA Technology AX5U6000C4016G-DCLARWH 16GB",179,34313
"A-DATA Technology AX5U6400C3216G-DTLABWH 16GB",NA,34241
"Corsair CMK64GX5M2B6000Z40 32GB",NA,34222
"Corsair CMH32GX5M2E6000Z36 16GB",188,34207
"Crucial Technology CT24G56C46S5.M8B1 24GB",NA,34200
"A-DATA Technology AD5S560016G-SFW 16GB",NA,34197
"A-DATA Technology AX5U6400C3216G-DCLARBK 16GB",213.95,34156
"Corsair CMH32GX5M2B5600Z36 16GB",191.95,34149
"Kingston KF560C30-32 32GB",NA,34101
"Patriot Memory (PDP Systems) 6400 Series 32GB",NA,34040
"Mushkin MRX5U560DDDH32G 32GB",NA,33891
"Corsair CMH64GX5M2B5200Z40 32GB",348.95,33765
"G Skill Intl F5-5200J3636D32G 32GB",434.95,33762
"Corsair CMSX32GX5M2A5200C44 16GB",NA,33625
"Apacer Technology D23.3528WM.001 16GB",NA,33564
"Essencore Limited KD5AGUA80-56G460A 16GB",NA,33508
"Essencore Limited KD5AGUA80-62A320S 16GB",NA,33504
"A-DATA Technology AX5U6000C3032G-BLARBK 32GB",NA,33489
"Lexar Co Limited LD5U16G72C34LA 16GB",209,33348
"Team Group Inc. UD5-6200 16GB",NA,33331
"A-DATA Technology AX5U6000C3016G-BLABRWH 16GB",NA,33184
"Corsair CMT64GX5M4B5600C36 16GB",NA,33174
"G Skill Intl F5-6000J3238F16G 16GB",169,33124
"Corsair CMH32GX5M2B5600Z40 16GB",NA,33108
"PNY Technologies Inc 16GP1X1660HHH76-135-K3-RGB 16GB",NA,33092
"Corsair CMK32GX5M2E6000Z36 16GB",199,33043
"Mushkin MRX5U600DDDP32G 32GB",NA,33040
"Kingston KF552C36-8 8GB",NA,33039
"G Skill Intl F5-6000J4048F24G 24GB",NA,33007
"G Skill Intl F5-6000J3238G32G 32GB",349,32980
"Apacer Technology GD2.47312H.004 16GB",NA,32935
"Essencore Limited KD5AGUA80-60A300G 16GB",199,32906
"Wilk Elektronik S.A. IR-6000D564L30S/16G 16GB",NA,32873
"Corsair CMT64GX5M2B5600Z40 32GB",393.95,32755
"Patriot Memory (PDP Systems) 8200 C38 Series 24GB",NA,32746
"Golden Empire CL38-44-44 D5-6000 16GB",NA,32739
"Patriot Memory (PDP Systems) 6600 C34 Series 16GB",NA,32719
"A-DATA Technology AX5U6000C3016G-DCLABK 16GB",NA,32704
"A-DATA Technology AX5U6000C3016G-BLAWH 16GB",NA,32690
